trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20071108,4542.173,4949.135,0.011279897901249433,,0.014260008099196808
20071109,4434.894,4832.245,0.011552845195237563,,0.014259910706885481
20071112,4331.75,4719.86,0.011828004290120049,,0.0142599841687443
20071113,4331.633,4719.732,0.0118283237715955,,0.0142599841687443
20071114,4536.096,4942.514,0.011295037839162164,,0.014259541909273032
20071115,4435.91,4833.351,0.011550070184575807,,0.014259316906435116
20071116,4387.125,4780.196,0.01167870701559964,,0.014259519355646733
20071119,4470.186,4870.699,0.01146170905355211,,0.014259524762865627
20071120,4595.409,5007.141,0.011149342593644074,,0.014259389054510185
20071121,4531.093,4937.063,0.011307697811484904,,0.014259487792418923
20071122,4343.957,4733.16,0.011794829092399985,,0.014259487792418923
20071123,4427.226,4823.89,0.011573069342112068,,0.014259570975198699
20071126,4378.851,4771.18,0.011700921883663418,,0.014259570975198699
20071127,4321.994,4709.229,0.011854888644675111,,0.014259609485611557
20071128,4257.565,4639.028,0.012034324504942698,,0.014259451984359295
20071129,4378.284,4770.563,0.01170232735286623,,0.014258871530556494
20071130,4265.157,4647.299,0.012012714329581904,,0.014258871530556494
20071203,4270.631,4653.264,0.011997434943172033,,0.014258991460697645
20071204,4339.327,4728.115,0.01180745822910471,,0.014258815767379973
20071205,4515.989,4920.606,0.011345706712124629,,0.014258964990067513
20071206,4518.322,4923.148,0.011339712060529236,,0.014258537377537017
20071207,4622.134,5036.262,0.011085184620438955,,0.014258699376317407
20071210,4749.925,5175.502,0.010786951105629664,,0.014258699376317407
20071211,4768.656,5195.911,0.010744500445231073,,0.0142584451440535
20071212,4771.062,5198.533,0.010739164961166612,,0.014258529188187374
20071213,4564.327,4973.275,0.011225406152492038,,0.01425801539595195
20071214,4657.581,5074.885,0.011000779180841474,,0.014258101242657917
20071217,4589.598,5000.81,0.011163608877441058,,0.014257748897719136
20071218,4596.635,5008.478,0.011146620168832843,,0.014257852035661989
20071219,4729.811,5153.586,0.010832767820905097,,0.014257852035661989
20071220,4805.598,5236.163,0.010661779498542493,,0.014257389224406669
20071221,4885.972,5323.738,0.010486139892500669,,0.014256596491562856
20071224,4964.279,5409.061,0.010320730543718688,,0.014256596491562856
20071225,5023.209,5473.271,0.01019966678236921,,0.01425661104459186
20071226,5075.668,5530.431,0.010094404159583827,,0.014256768147484777
20071227,5143.15,5603.958,0.009961925266430648,,0.014256665805986835
20071228,5102.799,5559.993,0.01004093537658541,,0.014256904137797788
20080102,5163.139,5625.738,0.009923590087097141,,0.014256904137797788
20080103,5315.444,5791.69,0.009639342525072038,,0.014256824605096696
